N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;EG101;I;COMPRENSIÓN Y ARGUMENTACIÓN;0;3;2;5;4;NINGUNO
2;EG102;I;PENSAMIENTO RACIONAL Y ÉTICA;0;2;2;4;3;NINGUNO
3;EG103;I;MATEMÁTICA BÁSICA;0;3;2;5;4;NINGUNO
4;EG104;I;TALLER DE INNOVACIÓN Y EMPRENDIMIENTO;0;2;2;4;3;NINGUNO
5;EG105;I;ECOLOGÍA Y DESARROLLO SOSTENIBLE;0;2;2;4;3;NINGUNO
6;EG114;I;ESTRATEGIAS DE APRENDIZAJE;0;2;2;4;3;NINGUNO
7;EG118;I;IDENTIDAD Y DIVERSIDAD CULTURAL;0;2;2;4;3;NINGUNO
8;AGR201;II;BIOESTADÍSTICA AGROPECUARIA;0;2;2;4;3;NINGUNO
9;AGR202;II;CÁLCULO I;0;3;2;5;4;EG103
10;AGR203;II;AGROECONOMÍA;0;2;2;4;3;NINGUNO
11;AGR204;II;TOPOGRAFÍA Y CARTOGRAFÍA;0;0;2;2;1;NINGUNO
12;EG108;II;QUÍMICA GENERAL;0;3;2;5;4;NINGUNO
13;EG109;II;FÍSICA GENERAL;0;3;2;5;4;NINGUNO
14;EG113;II;BIOLOGÍA GENERAL;0;3;2;5;4;NINGUNO
15;AGR205;III;CÁLCULO II;0;3;2;5;4;AGR202
16;AGR206;III;BOTÁNICA AGRÍCOLA;0;3;2;5;4;EG105
17;AGR207;III;MICROBIOLOGÍA AGRÍCOLA;0;3;2;5;4;EG105
18;AGR208;III;QUÍMICA AGRÍCOLA;0;3;2;5;4;EG108
19;AGR209;III;EDAFOLOGÍA;0;3;2;5;4;NINGUNO
20;AGR210;III;MECANIZACIÓN AGRÍCOLA;0;3;2;5;4;EG109
21;AGR211;IV;TAXONOMÍA VEGETAL;0;3;2;5;4;AGR206
22;AGR212;IV;ENTOMOLOGÍA AGRÍCOLA I;0;3;2;5;4;EG113
23;AGR213;IV;ANATOMÍA Y FISIOLOGÍA ANIMAL;0;3;2;5;4;NINGUNO
24;AGR214;IV;BIOQUÍMICA AGRÍCOLA;0;3;2;5;4;EG108
25;AGR215;IV;AGROMETEOROLOGÍA Y CLIMATOLOGÍA;0;3;2;5;4;AGR210
26;AGR301;IV;FITOPATOLOGÍA;0;3;2;5;4;AGR207
27;AGR216;V;MÉTODOS ESTADÍSTICOS PARA LA INVESTIGACIÓN AGROPECUARIA;0;3;2;5;4;AGR201
28;AGR217;V;GENÉTICA AGRÍCOLA Y PECUARIA;0;3;2;5;4;AGR205
29;AGR218;V;ZOOTECNIA GENERAL;0;3;2;5;4;AGR213
30;AGR219;V;FISIOLOGÍA VEGETAL;0;3;2;5;4;AGR214
31;AGR220;V;FERTILIDAD DEL SUELO;0;3;2;5;4;AGR209
32;AGR302;V;ENTOMOLOGÍA AGRÍCOLA II;0;3;2;5;4;AGR212
33;AGR221;VI;BIOTECNOLOGÍA AGROPECUARIA;0;2;2;4;3;AGR217
34;AGR222;VI;NUTRICIÓN Y ALIMENTACIÓN ANIMAL;0;3;2;5;4;AGR218
35;AGR223;VI;AGRICULTURA DE PRECISIÓN;0;1;2;3;2;AGR204
36;AGR224;VI;INGLES TÉCNICO;0;0;2;2;1;NINGUNO
37;AGR303;VI;RECURSOS GENÉTICOS;0;2;2;4;3;AGR217
38;AGR304;VI;PROPAGACIÓN DE PLANTAS;0;2;2;4;3;AGR219
39;AGR305;VI;MANEJO Y CONSERVACIÓN DE SUELOS;0;2;2;4;3;AGR220
40;AGR306;VI;AGROECOLOGÍA;0;2;2;4;3;AGR215
41;AGR225;VII;HIDRÁULICA E HIDROLOGÍA;0;3;2;5;4;AGR220
42;AGR226;VII;DISEÑO Y CONSTRUCCIONES RURALES;0;2;2;4;3;AGR223
43;AGR307;VII;FITOMEJORAMIENTO;0;3;2;5;4;AGR303
44;AGR308;VII;PRODUCCIÓN DE PASTOS Y FORRAJES;0;3;2;5;4;AGR222
45;AGR309;VII;OLERICULTURA Y FLORICULTURA;0;1;2;3;2;AGR304
46;AGR310;VII;TUBEROSAS Y RAÍCES;0;2;2;4;3;AGR304
47;AGR311;VII;TECNOLOGÍA DE SEMILLAS;0;2;2;4;3;AGR219
48;AGR227;VIII;SEMINARIO DE TESIS I;0;1;2;3;2;AGR216
49;AGR228;VIII;GESTIÓN EMPRESARIAL;0;2;2;4;3;AGR203
50;AGR229;VIII;ORDENAMIENTO TERRITORIAL AGRARIO;0;2;2;4;3;AGR226
51;AGR312;VIII;FRUTICULTURA;0;3;2;5;4;AGR304
52;AGR313;VIII;GRANOS ANDINOS Y CEREALES;0;2;2;4;3;AGR310
