CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
EG101;I;COMPRENSIÓN Y ARGUMENTACIÓN;00;3.0;2.0;5.0;4.0;NINGUNO
EG102;I;PENSAMIENTO RACIONAL Y ÉTICA;00;2.0;2.0;4.0;3.0;NINGUNO
EG103;I;MATEMÁTICA BÁSICA;00;3.0;2.0;5.0;4.0;NINGUNO
EG104;I;TALLER DE INNOVACIÓN Y EMPRENDIMIENTO;00;2.0;2.0;4.0;3.0;NINGUNO
EG105;I;ECOLOGÍA Y DESARROLLO SOSTENIBLE;00;2.0;2.0;4.0;3.0;NINGUNO
EG108;I;QUÍMICA GENERAL;00;3.0;2.0;5.0;4.0;NINGUNO
EG112;I;FÍSICA I;00;3.0;2.0;5.0;4.0;NINGUNO
EG107;II;EPISTEMOLOGÍA;00;2.0;2.0;4.0;3.0;NINGUNO
EG111;II;CÁLCULO DIFERENCIAL;00;3.0;2.0;5.0;4.0;EG103
FIS203;II;FÍSICA II;00;3.0;2.0;5.0;4.0;EG112
GEO201;II;GEOLOGÍA GENERAL;00;3.0;2.0;5.0;4.0;NINGUNO
GEO204;II;"GEOMETRÍA DESCRIPTIVA Y DIBUJO GEOLÓGICO
COMPUTARIZADO";00;2.0;2.0;4.0;3.0;NINGUNO
QUI202;II;FISICOQUÍMICA;00;3.0;2.0;5.0;4.0;EG108
EG119;III;SEGURIDAD Y DEFENSA NACIONAL;00;2.0;2.0;4.0;3.0;NINGUNO
GEO205;III;CRISTALOGRAFÍA Y MINERALOGÍA;00;3.0;2.0;5.0;4.0;QUI202
GEO206;III;ESTÁTICA;00;2.0;2.0;4.0;3.0;FIS203
GEO207;III;SEDIMENTOLOGÍA Y ESTRATIGRAFÍA;00;3.0;2.0;5.0;4.0;GEO201
GEO208;III;GEOESTADÍSTICA;00;2.0;2.0;4.0;3.0;NINGUNO
HUM210;III;INGLES TÉCNICO;00;2.0;2.0;4.0;3.0;NINGUNO
MAT209;III;CÁLCULO INTEGRAL;00;3.0;2.0;5.0;4.0;EG111
GEO211;IV;RESISTENCIA DE GEOMATERIALES;00;3.0;2.0;5.0;4.0;GEO206
GEO212;IV;GEOMORFOLOGÍA;00;3.0;2.0;5.0;4.0;GEO207
GEO213;IV;PETROLOGÍA ÍGNEA;00;3.0;2.0;5.0;4.0;GEO205
GEO214;IV;TOPOGRAFÍA GEOLÓGICA I;00;3.0;2.0;5.0;4.0;GEO204
