CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
EG101;I;COMPRENSIÓN Y ARGUMENTACIÓN;00;3.0;2.0;5.0;4.0;NINGUNO
EG102;I;PENSAMIENTO RACIONAL Y ÉTICA;00;2.0;2.0;4.0;3.0;NINGUNO
EG103;I;MATEMÁTICA BÁSICA;00;3.0;2.0;5.0;4.0;NINGUNO
EG104;I;TALLER DE INNOVACIÓN Y EMPRENDIMIENTO;00;2.0;2.0;4.0;3.0;NINGUNO
EG105;I;ECOLOGÍA Y DESARROLLO SOSTENIBLE;00;2.0;2.0;4.0;3.0;NINGUNO
SIS201;I;PENSAMIENTO COMPUTACIONAL;00;2.0;2.0;4.0;3.0;NINGUNO
SIS202;I;INTRODUCCIÓN A LA INGENIERÍA DE SISTEMAS;00;4.0;0.0;4.0;4.0;NINGUNO
EG111;II;CÁLCULO DIFERENCIAL;00;3.0;2.0;5.0;4.0;EG103
EG112;II;FÍSICA I;00;3.0;2.0;5.0;4.0;NINGUNO
EG116;II;ACTIVIDADES FISICAS Y DEPORTES PARA LA SALUD;00;2.0;2.0;4.0;3.0;NINGUNO
EG119;II;SEGURIDAD Y DEFENSA NACIONAL;00;2.0;2.0;4.0;3.0;NINGUNO
HUM203;II;INGLES BÁSICO;00;3.0;0.0;3.0;3.0;NINGUNO
SIS204;II;PROGRAMACIÓN ORIENTADA A OBJETOS I;00;2.0;2.0;4.0;3.0;SIS201
SIS205;II;ESTRUCTURAS DISCRETAS;00;2.0;2.0;4.0;3.0;SIS201
EG110;III;ESTADÍSTICA;00;3.0;2.0;5.0;4.0;NINGUNO
FIS208;III;FÍSICA II;00;4.0;0.0;4.0;4.0;EG112
HUM207;III;INGLES TÉCNICO;00;2.0;2.0;4.0;3.0;HUM203
MAT209;III;CÁLCULO INTEGRAL;00;2.0;2.0;4.0;3.0;EG111
SIS206;III;PROGRAMACIÓN ORIENTADA A OBJETOS II;00;3.0;2.0;5.0;4.0;SIS204
SIS301;III;SISTEMAS ELECTRÓNICOS Y DIGITALES;00;2.0;2.0;4.0;3.0;NINGUNO
SIS302;III;DESARROLLO BASADO EN PLATAFORMAS I;00;2.0;2.0;4.0;3.0;SIS201
MAT212;IV;CÁLCULO VECTORIAL;00;2.0;2.0;4.0;3.0;MAT209
MAT213;IV;ÁLGEBRA LINEAL;00;4.0;0.0;4.0;4.0;EG103
