N;CICLO;CODIGO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;I;EG101;COMPRENSIÓN Y ARGUMENTACIÓN;00;3.0;2.0;5.0;4.0;NINGUNO
2;I;EG102;PENSAMIENTO RACIONAL Y ÉTICA;00;2.0;2.0;4.0;3.0;NINGUNO
3;I;EG103;MATEMÁTICA BÁSICA;00;3.0;2.0;5.0;4.0;NINGUNO
4;I;EG104;TALLER DE INNOVACIÓN Y EMPRENDIMIENTO;00;2.0;2.0;4.0;3.0;NINGUNO
5;I;EG105;ECOLOGÍA Y DESARROLLO SOSTENIBLE;00;2.0;2.0;4.0;3.0;NINGUNO
6;I;EG106;PRODUCCIÓN DE TEXTOS ACADÉMICOS;00;2.0;2.0;4.0;3.0;NINGUNO
7;I;EG118;IDENTIDAD Y DIVERSIDAD CULTURAL;00;2.0;2.0;4.0;3.0;NINGUNO
8;II;DER201;CIUDADANÍA Y RESPONSABILIDAD SOCIAL;00;3.0;2.0;5.0;4.0;NINGUNO
9;II;DER202;INTRODUCCIÓN AL DERECHO;00;4.0;0.0;4.0;4.0;NINGUNO
10;II;DER203;SOCIOLOGÍA Y ANTROPOLOGÍA JURÍDICA;00;3.0;2.0;5.0;4.0;NINGUNO
11;II;EG107;EPISTEMOLOGÍA;00;2.0;2.0;4.0;3.0;NINGUNO
12;II;EG114;ESTRATEGIAS DE APRENDIZAJE;00;2.0;2.0;4.0;3.0;NINGUNO
13;II;EG119;SEGURIDAD Y DEFENSA NACIONAL;00;2.0;2.0;4.0;3.0;NINGUNO
14;II;EG121;EQUIDAD DE GÉNERO;00;2.0;2.0;4.0;3.0;NINGUNO
15;III;DER204;DERECHO, ROMANO, GERMANICO Y ANGLO SAJÓN;00;2.0;2.0;4.0;3.0;NINGUNO
16;III;DER205;TEORÍA DE ESTADO;00;2.0;0.0;2.0;2.0;DER202
17;III;DER206;TEORÍA DEL CONFLICTO, CONCILIACIÓN Y ARBITRAJE;00;2.0;2.0;4.0;3.0;NINGUNO
18;III;DER207;ANATOMÍA Y MEDICINA LEGAL;00;3.0;2.0;5.0;4.0;NINGUNO
19;III;DER208;"DERECHO DE PROPIEDAD INTELECTUAL Y DERECHO DE LA
COMPETENCIA";00;2.0;2.0;4.0;3.0;DER201
20;III;DER209;DERECHO EMPRESARIAL Y DE SOCIEDADES;00;3.0;0.0;3.0;3.0;NINGUNO
21;III;DER210;"DERECHOS DE COMUNIDADES CAMPESINAS, NATIVAS Y
RECURSOS HÍDRICOS";00;2.0;2.0;4.0;3.0;EG118
22;III;DER211;ARGUMENTACIÓN JURÍDICA;00;2.0;2.0;4.0;3.0;EG106
23;IV;DER212;POLÍTICAS PÚBLICAS Y GESTIÓN PÚBLICA;00;2.0;0.0;2.0;2.0;NINGUNO
24;IV;DER213;DERECHOS HUMANOS I;00;2.0;2.0;4.0;3.0;NINGUNO
25;IV;DER214;FILOSOFÍA DEL DERECHO;00;3.0;2.0;5.0;4.0;NINGUNO
26;IV;DER215;DERECHO CONSTITUCIONAL GENERAL;00;3.0;2.0;5.0;4.0;NINGUNO
27;IV;DER216;DERECHOS DEL CONSUMIDOR Y DERECHO REGULATORIO;00;2.0;2.0;4.0;3.0;DER208
28;IV;DER217;DERECHO NACIONAL, REGIONAL, MUNICIPAL Y LOPE;00;3.0;0.0;3.0;3.0;NINGUNO
29;IV;DER218;"DESARROLLO TECNOLÓGICO E INNOVACIÓN Y
PUBLICACIÓN ACADÉMICA";00;2.0;2.0;4.0;3.0;NINGUNO
30;IV;DER219;"MARCS NO INSTITUCIONALIZADOS Y JUSTICIA
ALTERNATIVA";00;1.0;2.0;3.0;2.0;DER206
31;V;DER220;DERECHOS HUMANOS II;00;2.0;2.0;4.0;3.0;DER213
32;V;DER221;DERECHO CONSTITUCIONAL DEL PERÚ;00;3.0;2.0;5.0;4.0;DER215
33;V;DER222;METODOLOGÍA DE LA INVESTIGACIÓN;00;3.0;2.0;5.0;4.0;NINGUNO
34;V;DER223;DERECHO AMBIENTAL Y ECOLÓGICO;00;3.0;0.0;3.0;3.0;EG105
