N;CODIGO;CICLO;CURSO;ESP;HT;HP;HP*2;TH;CRD;REQUE;;;
1;;I;COMPRESIÓN Y ARGUMENTACIÓN;0;3;1;2;5;4;Null;;;
2;;I;PENSAMIENTO RACIONAL Y ÉTICA;0;2;1;2;4;3;Null;;;
3;;I;MATEMÁTICA BÁSICA;0;3;1;2;5;4;Null;;;
4;;I;TALLER DE INNOVACIÓN Y EMPRENDIMIENTO;0;2;1;2;4;3;Null;;;
5;;I;ECOLOGÍA Y DESARROLLO SOSTENIBLE;0;2;1;2;4;3;Null;;;
6;;I;DISEÑO DE INGENIERÍA;0;1;1;2;3;2;Null;;;
7;;I;FÍSICA I;0;3;1;2;5;4;Null;;;
8;;II;ESTADÍSTICA;0;3;1;2;5;4;Null;;;
9;;II;CÁLCULO DIFERENCIAL;0;3;1;2;5;4;Null;;;
10;;II;MATEMÁTICA BÁSICA APLICADA;0;4;1;2;6;5;Null;;;
11;;II;LENGUAJES DE PROGRAMACIÓN I;0;3;1;2;5;4;Null;;;
12;;II;TECNOLOGÍA ELECTRÓNICA;0;2;1;2;4;3;Null;;;
13;;II;FÍSICA II;0;3;1;2;5;4;Null;;;
14;;III;EPISTEMOLOGÍA;0;2;1;2;4;3;Null;;;
15;;III;FÍSICA III;0;4;1;2;6;5;Null;;;
16;;III;LENGUAJES DE PROGRAMACIÓN II;0;4;1;2;6;5;Null;;;
17;;III;ANÁLISIS DE CIRCUITOS ELÉCTRICOS I;0;4;1;2;6;5;Null;;;
18;;III;CÁLCULO APLICADO DE LA INGENIERÍA ELECTRÓNICA I;0;4;1;2;6;5;Null;;;
19;;III;LABORATORIO DE ELECTRÓNICA I;0;0;1;2;2;1;Null;;;
20;;IV;SEGURIDAD Y DEFENSA NACIONAL;0;2;1;2;4;3;Null;;;
21;;IV;FÍSICA APLICADA A LA INGENIERÍA ELECTRÓNICA;0;4;1;2;6;5;Null;;;
22;;IV;ANÁLISIS DE CIRCUITOS ELÉCTRICOS II;0;4;1;2;6;5;Null;;;
23;;IV;DISPOSITIVOS ELECTRÓNICOS;0;4;1;2;6;5;Null;;;
24;;IV;CÁLCULO APLICADO DE LA INGENIERÍA ELECTRÓNICA II;0;4;1;2;6;5;Null;;;
25;;IV;LABORATORIO DE ELECTRÓNICA II;0;0;1;2;2;1;Null;;;
26;;V;MÁQUINAS ELÉCTRICAS;0;3;1;2;5;4;Null;;;
27;;V;CIRCUITOS ELECTRÓNICOS I;0;4;1;2;6;5;Null;;;
28;;V;SISTEMAS DIGITALES I;0;4;1;2;6;5;Null;;;
29;;V;TELECOMUNICACIONES I;0;4;1;2;6;5;Null;;;
30;;V;PROPAGACIÓN Y RADIACIÓN ELECTROMAGNÉTICA;0;3;1;2;5;4;Null;;;
31;;V;LABORATORIO DE ELECTRÓNICA III;0;0;1;2;2;1;Null;;;
