N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;EG101;I;COMPRENSION Y ARGUMENTACION;0;3.0;2.0;5.0;4.0;NINGUNO
2;EG102;I;PENSAMIENTO RACIONAL Y ETICA;0;2.0;2.0;4.0;3.0;NINGUNO
3;EG103;I;MATEMATICA BASICA;0;3.0;2.0;5.0;4.0;NINGUNO
4;EG104;I;TALLER DE INNOVACIÓN Y EMPRENDIMIENTO;0;2.0;2.0;4.0;3.0;NINGUNO
5;EG105;I;ECOLOGÍA Y DESARROLLO SOSTENIBLE;0;2.0;2.0;4.0;3.0;NINGUNO
6;EG107;I;EPISTEMOLOGÍA;0;2.0;2.0;4.0;3.0;NINGUNO
7;PS201;I;PSICOLOGÍA GENERAL;0;2.0;2.0;4.0;3.0;NINGUNO
8;EG114;II;ESTRATEGIAS DE APRENDIZAJE;0;2.0;2.0;4.0;3.0;NINGUNO
9;EG118;II;GEOHISTORIA REGIONAL;0;2.0;2.0;4.0;3.0;NINGUNO
10;EG119;II;SEGURIDAD Y DEFENSA NACIONAL;0;2.0;2.0;4.0;3.0;NINGUNO
11;PS202;II;NEUROANATOMIA FUNCIONAL;0;2.0;4.0;6.0;4.0;NINGUNO
12;PS203;II;ESCUELAS PSICOLÓGICAS CONTEMPORÁNEAS;0;2.0;2.0;4.0;3.0;NINGUNO
13;PS204;II;PSICOLOGIA DEL APRENDIZAJE;0;2.0;2.0;4.0;3.0;NINGUNO
14;PS301;II;PSICOLOGÍA DEL DEPORTE Y DE LA ACTIVIDAD FÍSICA;0;2.0;2.0;4.0;3.0;NINGUNO
15;EG106;III;PRODUCCIÓN DE TEXTOS ACADÉMIOS;0;2.0;2.0;4.0;3.0;NINGUNO
16;EG115;III;DESARROLLO PERSONAL;0;2.0;2.0;4.0;3.0;NINGUNO
17;PS205;III;PSICOLOGÍA DEL DESARROLLO I;0;3.0;2.0;5.0;4.0;NINGUNO
18;PS206;III;PSICOLOGÍA COGNITIVA;0;2.0;2.0;4.0;3.0;NINGUNO
19;PS207;III;PSICOESTADÍSTICA;0;2.0;2.0;4.0;3.0;4
20;PS208;III;NEUROPSICOLOGÍA;0;2.0;2.0;4.0;3.0;4
21;PS302;III;PSICOLOGÍA SOCIAL;0;2.0;2.0;4.0;3.0;NINGUNO
